"path","top_category","extension","size_bytes","git_lfs","last_write_time"
".gitattributes",".gitattributes",".gitattributes","47427","False","2026-06-01T00:54:15"
"1 - Design/OVERVIEW.pdf","1 - Design",".pdf","3018632","False","2026-05-28T09:25:38"
"1 - Design/UBCHighRiseTest-IFC.pdf","1 - Design",".pdf","1354964","False","2024-05-14T20:31:01"
"2 - Construction/3Dassembly-Components.pdf","2 - Construction",".pdf","9895252","False","2024-01-12T19:50:54"
"2 - Construction/Assemble plan.pdf","2 - Construction",".pdf","797547","False","2024-10-17T16:35:24"
"2 - Construction/Assemble work summary.docx","2 - Construction",".docx","17322621","True","2026-06-01T01:29:26"
"2 - Construction/On-site construction.mp4","2 - Construction",".mp4","308507127","True","2026-06-01T01:29:26"
"3 - Damper/Friction damper/Outrigger/Note.txt","3 - Damper",".txt","205","False","2026-05-27T19:10:08"
"3 - Damper/Friction damper/Outrigger/OR_Loading protocol.xlsx","3 - Damper",".xlsx","16726","False","2026-05-29T15:12:35"
"3 - Damper/Friction damper/Outrigger/OR2/OR2.mp4","3 - Damper",".mp4","14646690","True","2026-06-01T01:29:26"
"3 - Damper/Friction damper/Outrigger/OR2/OR2-v=0.4.xlsx","3 - Damper",".xlsx","679740","False","2026-05-29T15:12:14"
"3 - Damper/Friction damper/Outrigger/OR3/0R3.mp4","3 - Damper",".mp4","18810537","True","2026-06-01T01:29:26"
"3 - Damper/Friction damper/Outrigger/OR3/OR3-v=0.4.xlsx","3 - Damper",".xlsx","669669","False","2024-12-09T16:17:02"
"3 - Damper/Friction damper/Outrigger/OR4/OR4.mp4","3 - Damper",".mp4","15653218","True","2026-06-01T01:29:26"
"3 - Damper/Friction damper/Outrigger/OR4/OR4-v=0.4.xlsx","3 - Damper",".xlsx","698549","False","2024-06-14T18:30:08"
"3 - Damper/Friction damper/Outrigger/OR5/OR5.mp4","3 - Damper",".mp4","16998990","True","2026-06-01T01:29:26"
"3 - Damper/Friction damper/Outrigger/OR5/OR5-v=0.4.xlsx","3 - Damper",".xlsx","726484","False","2024-12-09T16:17:01"
"3 - Damper/Friction damper/Outrigger/OR6/OR6.mp4","3 - Damper",".mp4","14762268","True","2026-06-01T01:29:26"
"3 - Damper/Friction damper/Outrigger/OR6/OR6-v=0.4.xlsx","3 - Damper",".xlsx","690410","False","2024-12-09T16:16:59"
"3 - Damper/Friction damper/Wall-base/Note.txt","3 - Damper",".txt","205","False","2026-05-27T19:10:08"
"3 - Damper/Friction damper/Wall-base/WB_Loading protocol.xlsx","3 - Damper",".xlsx","17712","False","2026-05-27T19:07:28"
"3 - Damper/Friction damper/Wall-base/WB2/WB2.mp4","3 - Damper",".mp4","17675297","True","2026-06-01T01:29:26"
"3 - Damper/Friction damper/Wall-base/WB2/WB2-v=0.4.xlsx","3 - Damper",".xlsx","747059","False","2024-07-27T22:05:07"
"3 - Damper/Friction damper/Wall-base/WB3/WB3.mp4","3 - Damper",".mp4","19753122","True","2026-06-01T01:29:26"
"3 - Damper/Friction damper/Wall-base/WB3/WB3-v=0.4mm.xlsx","3 - Damper",".xlsx","1743478","False","2024-07-27T21:52:05"
"3 - Damper/Friction damper/Wall-base/WB4/WB4.mp4","3 - Damper",".mp4","22633639","True","2026-06-01T01:29:26"
"3 - Damper/Friction damper/Wall-base/WB4/WB4-v=0.4mm.xlsx","3 - Damper",".xlsx","702830","False","2024-07-27T22:05:09"
"3 - Damper/Friction damper/Wall-base/WB5/WB5.mp4","3 - Damper",".mp4","16841320","True","2026-06-01T01:29:26"
"3 - Damper/Friction damper/Wall-base/WB5/WB5-v=0.4mm.xlsx","3 - Damper",".xlsx","862803","False","2024-12-28T17:11:38"
"3 - Damper/LED/Summary of LED Test Results.docx","3 - Damper",".docx","4774707","False","2024-08-14T15:34:51"
"3 - Damper/RSFJ/RSFJ outrigger dampers.xlsx","3 - Damper",".xlsx","291388","False","2024-08-14T15:34:23"
"4 - Instrumentation/As-built instrumentation.docx","4 - Instrumentation",".docx","79210495","True","2026-06-01T01:29:26"
"4 - Instrumentation/Instrumentation channel list_final.xlsx","4 - Instrumentation",".xlsx","98247","False","2025-06-23T10:43:35"
"4 - Instrumentation/Instrumnetation drawing.dwg","4 - Instrumentation",".dwg","2067854","False","2025-02-22T16:11:13"
"4 - Instrumentation/Pic/As-built/Acce.JPG","4 - Instrumentation",".JPG","12031410","True","2026-06-01T01:29:26"
"4 - Instrumentation/Pic/As-built/CB (1).JPG","4 - Instrumentation",".JPG","11318678","True","2026-06-01T01:29:26"
"4 - Instrumentation/Pic/As-built/CB (10).JPG","4 - Instrumentation",".JPG","11489020","True","2026-06-01T01:29:26"
"4 - Instrumentation/Pic/As-built/CB (11).JPG","4 - Instrumentation",".JPG","11881660","True","2026-06-01T01:29:26"
"4 - Instrumentation/Pic/As-built/CB (2).JPG","4 - Instrumentation",".JPG","7298834","False","2025-01-04T10:32:24"
